codigo,concepto,unidad,rendimiento_m2,precio_catalogo_almeria,familia_precio
L00A003200A0,Placa STD BA 13,m2,1.025,6.36,PLACA
C399041299A,Montante 90/40 Z1,ml,2.8,0.743,RESTO
U309030300A,Rail 90 Z1,ml,0.7,0.583,RESTO
304101,Tornillo PM 3.5x25,ud,10,0.014,RESTO
304104,Tornillo PM 3.5x35,ud,15,0.017,RESTO
304134,Tornillo MM 3.5x9.5,ud,3,0.014,RESTO
304058,Cinta juntas papel,ml,1.0,0.056,RESTO
304065,Cinta guardavivos,ml,0.3,0.579,RESTO
304077,Banda estanca 90 mm,ml,0.6,0.753,RESTO
351E1,FASSAJOINT 1H,kg,0.20,1.33,RESTO
