codigo,concepto,unidad,rendimiento_m2,precio_catalogo_almeria,familia_precio
L00A005200A0,Placa STD BA 15,m2,4.10,7.96,PLACA
C367038299A,Montante 70/35 Z1,ml,2.8,0.593,RESTO
U307030300A,Rail 70 Z1,ml,0.40,0.477,RESTO
304101,Tornillo PM 3.5x25,ud,24,0.014,RESTO
304104,Tornillo PM 3.5x35,ud,16,0.017,RESTO
304134,Tornillo MM 3.5x9.5,ud,3,0.014,RESTO
304058,Cinta juntas papel,ml,4.00,0.056,RESTO
304065,Cinta guardavivos,ml,0.3,0.579,RESTO
304076,Banda estanca 70 mm,ml,0.6,0.581,RESTO
351E1,FASSAJOINT 1H,kg,0.40,1.33,RESTO
