sku,concepto,unidad,precio,coef,Hmax
L00H005200A0,Placa mixta AQUA+STD 15,m2,9.15,4.10,3.8
C399041299A,Montante 90/40 Z1,ml,0.743,2.8,3.8
U309030300A,Rail 90 Z1,ml,0.583,0.7,3.8
304101,Tornillo PM 3.5x25,ud,0.014,24,3.8
304104,Tornillo PM 3.5x35,ud,0.017,16,3.8
304134,Tornillo MM 3.5x9.5,ud,0.014,3,3.8
304058,Cinta juntas papel,ml,0.056,4.0,3.8
304065,Cinta guardavivos,ml,0.579,0.3,3.8
304077,Banda estanca 90 mm,ml,0.753,0.6,3.8
353E1,FASSAJOINT 2H cara AQUA,kg,1.327,0.40,3.8
351E1,Pasta JN cara STD,kg,1.33,0.40,3.8

