sku,concepto,unidad,precio,coef,Hmax
L00H003200A0,Placa mixta AQUA+STD 13,m2,8.10,2.05,3.0
C367038299A,Montante 70/35 Z1,ml,0.593,2.8,3.0
U307030300A,Rail 70 Z1,ml,0.477,0.7,3.0
304101,Tornillo PM 3.5x25,ud,0.014,12,3.0
304104,Tornillo PM 3.5x35,ud,0.017,8,3.0
304134,Tornillo MM 3.5x9.5,ud,0.014,3,3.0
304058,Cinta juntas papel,ml,0.056,2.0,3.0
304065,Cinta guardavivos,ml,0.579,0.3,3.0
304076,Banda estanca 70 mm,ml,0.581,0.6,3.0
353E1,FASSAJOINT 2H cara AQUA,kg,1.327,0.20,3.0
351E1,Pasta JN cara STD,kg,1.33,0.20,3.0

